mat_rows,vct_size,CPU,GPU,SPEEDUP
100000,4000,196090,5549,35.33789872
10000,4000,34213,710,48.18732394
1000,4000,3294,127,25.93700787
100,4000,329,75,4.386666667
100000,2000,104763,2881,36.36341548
10000,2000,16937,406,41.71674877
1000,2000,1661,78,21.29487179
100,2000,163,73,2.232876712
100000,1000,76078,1587,47.93824827
10000,1000,8606,225,38.24888889
1000,1000,854,79,10.81012658
100,1000,89,73,1.219178082
100000,100,10042,264,38.03787879
10000,100,978,84,11.64285714
1000,100,99,66,1.5
100,100,9,58,0.155172414
1000000,100,84819,1653,51.31215971
4000000,100,227165,5728,39.65869413
